117,590,199,1253
118,596,11,642
119,599,50,808
120,596,150,1034
121,596,262,1178
122,592,104,966
123,589,54,737
124,593,805,2951
125,600,103,935
126,604,317,1770
127,600,39,749
128,599,363,1957
129,602,957,4156
130,594,526,2134
131,600,360,1869
132,598,148,1039
133,595,465,2032
134,598,128,1059
135,595,270,1388
136,603,144,1007
137,602,1495,5194
138,600,1070,4193
139,600,293,1399
140,601,87,919
141,599,66,814
142,602,5,627
143,598,22,664
144,608,161,952
145,606,1176,5101
146,602,270,1472
147,612,103,1143
148,611,626,2840
149,619,478,2337
150,620,30,752
151,613,41,767
152,618,393,2081
153,625,1159,4585
154,620,51,798
155,630,1625,5847
156,624,81,974
157,621,153,1233
158,618,1145,4313
159,631,357,1510
160,622,474,2433
161,630,2115,7635
162,621,186,1325
163,626,333,1526
164,619,408,2021
165,622,208,1130
166,634,212,1339
167,627,263,1571
168,629,136,1161
169,628,332,1601
170,627,501,2194
171,631,569,2660
172,625,186,1202
173,640,59,884
174,627,121,1027
175,633,226,1495
176,631,528,2699
177,628,120,898
178,638,56,817
179,631,518,2622
180,635,207,1259
181,627,141,1093
182,628,389,2083
183,633,125,1033
184,630,61,788
185,634,39,682
186,637,329,1763
187,636,354,1806
188,627,537,2586
189,629,112,922
190,634,83,857
191,641,320,1734
192,634,38,838
193,641,36,756
194,635,66,883
195,640,612,2835
196,644,17,736
197,634,127,950
198,633,123,1059
199,638,270,1465
200,641,63,800
201,638,601,2750
202,639,1149,4373
203,643,560,2337
204,634,40,749
205,639,632,2885
206,655,18,725
207,636,56,730
208,643,16,713
209,632,271,1502
210,633,170,1193
211,638,1315,5492
212,634,423,2455
213,640,48,865
214,641,249,1577
215,646,105,1030
216,647,249,1481
217,640,1702,6521
218,640,211,1272
219,650,6,650
220,646,1163,4947
221,647,215,1388
222,647,222,1324
223,640,155,1004
224,647,8,647
225,642,264,1432
226,647,443,2263
227,648,572,2533
228,645,626,2404
229,642,567,2639
230,649,804,3869
231,638,794,3061
232,649,8,696
233,640,23,734
234,639,662,3172
235,637,703,3151
236,638,605,2611
237,647,75,965
238,643,336,1725
239,639,132,1090
240,641,379,2077
241,644,43,669
242,642,879,3645
243,648,70,831
244,636,280,1740
245,647,21,717
246,648,123,1099
247,645,915,3982
248,641,378,2035
249,644,1491,5505
250,646,400,1932
251,639,649,2706
252,646,1152,4389
253,648,99,1076
254,638,81,933
255,655,646,2948
256,647,165,1234
257,647,113,1010
258,646,794,3447
259,639,233,1452
260,643,564,2751
261,650,54,833
262,646,916,3918
263,638,1216,4674
264,647,890,3998
265,638,89,934
266,644,263,1476
267,646,867,4072
268,638,602,2768
269,648,80,808
270,642,126,1227
271,646,353,1835
272,640,267,1650
273,633,1247,4787
274,640,108,977
275,640,152,1155
276,640,236,1556
277,654,1,654
278,652,519,2380
279,641,238,1495
280,645,533,2329
281,645,461,2171
282,640,1989,7236
283,632,134,1146
284,645,1322,5753
285,633,415,2316
286,641,222,1575
287,642,293,1710
288,632,488,2213
289,640,466,2262
290,632,855,3557
291,640,95,955
292,640,774,3242
293,639,1124,4703
294,633,79,816
295,639,363,1954
296,634,87,1014
297,641,402,2067
298,636,444,2259
299,631,223,1458
300,638,2118,8496
301,627,397,1980
302,627,244,1511
303,640,600,2535
304,630,31,721
305,634,452,2069
306,633,97,900
307,632,82,833
308,636,130,1169
309,638,90,863
310,630,724,3260
311,627,119,983
312,636,44,794
313,631,450,2091
314,635,116,991
315,635,181,1192
316,641,14,642
317,626,1170,4591
318,630,538,2527
319,630,88,963
320,634,435,2202
321,636,884,3866
322,631,1260,4924
323,628,231,1590
324,629,516,2377
325,637,65,926
326,627,809,3183
327,635,112,1035
328,629,287,1681
329,631,789,3752
330,632,34,766
331,633,196,1139
332,634,109,1031
333,628,73,1002
334,622,737,3136
335,633,126,1073
336,624,319,1629
337,622,398,2177
338,625,41,739
339,623,633,2895
340,630,61,831
341,621,317,1584
342,629,769,3286
343,622,149,997
344,628,243,1396
345,627,358,1853
346,626,103,979
347,621,695,2913
348,630,190,1399
349,623,359,1960
350,629,104,1049
351,631,303,1531
352,626,380,1743
353,630,449,2450
354,624,305,1811
355,623,486,2329
356,633,72,812
357,630,1076,4168
358,628,7,651
359,623,269,1418
360,632,207,1224
361,623,240,1519
362,631,244,1289
363,630,296,1637
364,622,212,1324
365,626,1273,5029
366,623,82,826
367,625,41,781
368,624,126,1132
369,631,9,656
370,625,1179,4743
371,627,210,1367
372,618,48,838
373,618,1429,5744
374,620,46,839
375,626,1116,4773
376,628,20,763
377,618,845,3821
378,618,688,3109
379,620,271,1448
380,619,56,798
381,616,599,2676
382,626,165,1387
383,619,70,861
384,618,1725,6307
385,623,553,2529
386,623,408,2249
387,621,113,949
388,628,7,674
389,626,718,2774
390,626,1065,3982
391,628,513,2340
392,626,473,2577
393,616,277,1508
394,625,374,1862
395,626,67,868
396,622,265,1534
397,618,506,2633
398,618,771,3372
399,626,325,1561
400,620,65,753
401,617,74,772
402,626,85,976
403,624,235,1343
404,633,261,1550
405,621,171,1188
406,617,454,2329
407,623,208,1340
408,622,17,646
409,619,413,2116
410,620,5,644
411,619,434,2137
412,627,14,650
413,625,1053,4392
414,622,512,2183
415,618,454,2093
416,618,256,1521
417,618,495,2420
418,627,41,782
419,624,316,1924
420,616,382,2263
421,617,683,3109
422,619,198,1143
423,624,194,1192
424,618,36,665
425,616,18,705
426,618,22,665
427,619,84,861
428,617,114,946
429,618,158,1098
430,624,1315,5365
431,618,422,2178
432,618,562,2461
433,615,160,1182
434,628,506,2384
435,624,173,1365
436,626,1344,5387
437,618,219,1228
438,635,210,1427
439,627,448,2147
440,628,277,1626
441,625,446,2315
442,617,157,1032
443,621,44,734
444,621,78,819
445,617,55,816
446,627,795,3314
447,622,687,2964
448,623,281,1686
449,618,220,1378
450,620,67,798
451,635,80,903
452,620,289,1940
453,624,190,1148
454,625,18,692
455,621,66,755
456,625,1,625
457,629,480,2126
458,621,391,2224
459,626,1028,4801
460,623,420,2098
461,630,696,3339
462,629,1155,4242
463,623,240,1395
464,625,215,1240
465,630,197,1139
466,630,137,1199
467,629,1,629
468,633,244,1639
469,624,806,3269
470,633,91,857
471,631,1291,5284
472,624,208,1227
473,630,454,2335
474,625,85,955
475,630,26,678
476,626,493,2223
477,627,133,1132
478,624,469,2310
479,621,244,1475
480,631,276,1377
481,636,372,1675
482,634,597,2751
483,630,268,1448
484,629,419,2065
485,633,108,1053
486,631,24,677
487,633,34,767
488,628,112,985
489,637,176,1431
490,631,287,1450
491,639,151,1193
492,631,1193,5229
493,635,69,1034
494,629,66,787
495,635,214,1409
496,633,1162,5124
497,630,394,1955
498,626,583,2698
499,627,737,3075
500,638,667,2909
501,628,251,1340
502,633,1334,6089
503,639,182,1174
504,631,959,4130
505,627,121,1092
506,632,69,900
507,627,283,1754
508,634,996,3675
509,636,3,636
510,626,100,959
511,632,196,1296
512,636,65,839
513,629,120,1029
514,639,117,928
515,639,7,639
516,632,96,1097
517,635,638,2806
518,645,2,645
519,632,129,1121
520,627,1357,4836
521,629,471,2370
522,635,483,2292
523,629,1380,5695
524,634,294,1825
525,633,230,1464
526,628,122,1182
527,629,64,788
528,636,74,882
529,629,397,1867
530,639,199,1372
531,626,212,1268
532,631,213,1273
533,631,141,1228
534,629,113,1141
535,637,624,2795
536,634,548,2294
537,638,423,2105
538,645,20,715
539,640,238,1615
540,634,154,1192
541,640,952,3795
542,639,105,930
543,640,295,1556
544,635,938,4186
545,641,112,1043
546,634,561,2464
547,640,493,2330
548,641,16,733
549,634,5,681
550,655,121,1110
551,639,363,1776
552,642,23,713
553,643,68,869
554,633,693,3230
555,639,87,955
556,642,77,847
557,639,154,1023
558,629,86,1052
559,641,40,954
560,637,440,1955
561,642,348,1693
562,634,185,1170
563,641,1904,7230
564,635,140,1128
565,639,53,864
566,640,250,1488
567,642,38,822
568,640,857,3617
569,637,42,862
570,642,277,1535
571,635,117,1059
572,637,99,1105
573,643,91,958
574,641,405,2286
575,643,647,2785
576,642,655,2777
577,632,176,1147
578,642,123,1289
579,633,70,925
580,640,204,1398
581,643,280,1536
582,642,9,667
583,635,21,683
584,641,1431,5283
585,641,163,1199
586,643,130,870
587,643,1246,5213
588,635,485,2592
589,632,824,3855
590,643,1011,4355
591,633,732,3099
592,634,37,705
593,642,317,1755
594,656,5,680
595,634,1388,5100
596,633,120,1014
597,638,298,1443
598,639,1128,4791
599,641,268,1576
600,631,272,1986
601,634,128,1039
602,641,631,2686
603,639,362,1988
604,633,265,1463
605,637,10,638
606,635,12,659
607,634,529,2565
608,640,366,1808
609,646,389,1926
610,637,123,1176
611,645,183,1325
612,640,174,981
613,640,447,2256
614,647,268,1526
615,645,13,669
616,653,536,2559
617,650,233,1463
618,638,38,799
619,640,131,1158
620,647,96,1077
621,640,429,1875
622,647,156,1122
623,647,19,694
624,651,268,1598
625,639,179,1206
626,638,126,1226
627,638,472,2410
628,635,305,1847
